event_id,schema_version,run_id,scenario,sequence_no,round_no,attempt_no,attack_type,target,payload,request_started_at,response_received_at,emitted_at,kafka_received_at,persisted_at,http_status,ground_truth_success,response_excerpt,error,dynamic_factor,impact,attack_complexity,risk_level,risk_score,kafka_topic,kafka_partition,kafka_offset,probe_latency_ms,pipeline_latency_ms,end_to_end_latency_ms
cdcceaf7-416a-4421-9e08-59dfc750e043,2,ablation-B-20260713-220657,B_waf_enabled,418,418,1,sql_injection,http://vuln-web:5000/search,' OR '1'='1,1783951712.3837755,1783951712.4036944,1783951712.4037266,1783951712.4163544,1783951712.4163566,403,0,"{""msg"":""simulated WAF blocked a SQL injection signature"",""status"":""blocked""}
",,0,9.5,2.0,INFO,0.0,evidence_topic,2,2055,19.91891860961914,12.629985809326172,32.58109092712402
2407fc78-cd7c-4836-8eac-d254979e5cbc,2,ablation-B-20260713-220657,B_waf_enabled,419,419,1,sql_injection,http://vuln-web:5000/search,' OR '1'='1,1783951712.4136868,1783951712.418637,1783951712.418664,1783951712.426663,1783951712.4266655,403,0,"{""msg"":""simulated WAF blocked a SQL injection signature"",""status"":""blocked""}
",,0,9.5,2.0,INFO,0.0,evidence_topic,2,2056,4.950284957885742,8.001565933227539,12.978792190551758
f3c1ab26-b041-46b8-9594-d49d65864786,2,ablation-B-20260713-220657,B_waf_enabled,420,420,1,sql_injection,http://vuln-web:5000/search,' OR '1'='1,1783951712.4259439,1783951712.432344,1783951712.4323723,1783951712.4440165,1783951712.4440188,403,0,"{""msg"":""simulated WAF blocked a SQL injection signature"",""status"":""blocked""}
",,0,9.5,2.0,INFO,0.0,evidence_topic,0,2058,6.400108337402344,11.646509170532227,18.074989318847656
8bb699e0-2181-4d9f-9f85-31f4ca78c84e,2,ablation-B-20260713-220657,B_waf_enabled,421,421,1,sql_injection,http://vuln-web:5000/search,' OR '1'='1,1783951712.4432755,1783951712.4475505,1783951712.4475784,1783951712.4552507,1783951712.4552548,403,0,"{""msg"":""simulated WAF blocked a SQL injection signature"",""status"":""blocked""}
",,0,9.5,2.0,INFO,0.0,evidence_topic,1,2114,4.275083541870117,7.676362991333008,11.979341506958008
9fba41bd-720d-4643-9120-69e3196b4f15,2,ablation-B-20260713-220657,B_waf_enabled,422,422,1,sql_injection,http://vuln-web:5000/search,' OR '1'='1,1783951712.4548943,1783951712.460414,1783951712.4604406,1783951712.4711533,1783951712.4711552,403,0,"{""msg"":""simulated WAF blocked a SQL injection signature"",""status"":""blocked""}
",,0,9.5,2.0,INFO,0.0,evidence_topic,0,2059,5.519628524780273,10.714530944824219,16.260862350463867
017fa6a5-2763-43b4-9f7f-ca139ebc3e99,2,ablation-B-20260713-220657,B_waf_enabled,423,423,1,sql_injection,http://vuln-web:5000/search,' OR '1'='1,1783951712.469499,1783951712.4754486,1783951712.4754834,1783951712.5630152,1783951712.5630174,403,0,"{""msg"":""simulated WAF blocked a SQL injection signature"",""status"":""blocked""}
",,0,9.5,2.0,INFO,0.0,evidence_topic,2,2057,5.949497222900391,87.53395080566406,93.51825714111328
123f88fb-298e-4da0-a5f3-f5559e603e95,2,ablation-B-20260713-220657,B_waf_enabled,424,424,1,sql_injection,http://vuln-web:5000/search,' OR '1'='1,1783951712.5628502,1783951712.5666244,1783951712.5666492,1783951712.5755446,1783951712.575547,403,0,"{""msg"":""simulated WAF blocked a SQL injection signature"",""status"":""blocked""}
",,0,9.5,2.0,INFO,0.0,evidence_topic,2,2058,3.7741661071777344,8.897781372070312,12.69674301147461
9349a347-6bab-4485-bac9-ebad78f904f1,2,ablation-B-20260713-220657,B_waf_enabled,425,425,1,sql_injection,http://vuln-web:5000/search,' OR '1'='1,1783951712.5772169,1783951712.5864396,1783951712.5864637,1783951712.5952182,1783951712.5952208,403,0,"{""msg"":""simulated WAF blocked a SQL injection signature"",""status"":""blocked""}
",,0,9.5,2.0,INFO,0.0,evidence_topic,1,2115,9.222745895385742,8.75711441040039,18.00394058227539
2a020e36-714e-4ba8-934f-c3954cb35bcf,2,ablation-B-20260713-220657,B_waf_enabled,426,426,1,sql_injection,http://vuln-web:5000/search,' OR '1'='1,1783951712.5948482,1783951712.607834,1783951712.6078758,1783951712.6190023,1783951712.6190047,403,0,"{""msg"":""simulated WAF blocked a SQL injection signature"",""status"":""blocked""}
",,0,9.5,2.0,INFO,0.0,evidence_topic,2,2059,12.985944747924805,11.128902435302734,24.156570434570312
72abf4f5-2f94-4bd4-b28f-c84fcd08b2b0,2,ablation-B-20260713-220657,B_waf_enabled,427,427,1,sql_injection,http://vuln-web:5000/search,' OR '1'='1,1783951712.6187928,1783951712.6240647,1783951712.6241038,1783951712.636265,1783951712.6362696,403,0,"{""msg"":""simulated WAF blocked a SQL injection signature"",""status"":""blocked""}
",,0,9.5,2.0,INFO,0.0,evidence_topic,0,2060,5.27191162109375,12.16578483581543,17.476797103881836
